Total Duration,Total Cost FCFA
123.50441573201331,63994507.62851676
138.40339248377467,68973930.22765315
173.0987567610073,68938569.5885295
111.9085585085637,74703734.95084961
184.62700196784783,78257363.60646938
151.4846760716267,69850298.89262982
124.18096599932129,76655644.27785748
150.67032528226312,77230250.32503597
136.41586504443538,70467095.51236084
99.53866124816973,76731995.60724755
138.86744040470293,70202027.18567753
141.81111549032374,73773335.67890748
157.79036981605435,69194192.21628588
155.6087882105637,69484860.19016956
176.34923256164598,72540990.68008448
135.9879436545264,65076683.16689865
134.76593705764634,71319209.42279288
151.23419607336535,78336095.41841857
127.33831026850108,77623642.17446345
169.41035919194908,76565557.57737376
135.4473698627952,75169233.19241425
153.91305580177757,74078609.39776704
168.7800860657219,63033887.312585816
131.36319451184838,65559491.31617224
141.59323777889077,68755561.31998587
145.72134417906307,58935555.949009374
156.00741877831848,67766792.72251308
129.4153512972605,71927490.19845761
167.91154467768055,75572012.58724153
139.0535165895834,70985912.89109616
131.59670024870658,70447750.59249535
156.39469818047976,78622225.54480433
129.6852633157646,65798163.723408304
148.35219704104463,68286882.90709867
109.04624124440988,74299536.90909813
152.83560022879095,70249360.20360759
133.2482100986671,71921270.67130074
138.60957631207106,67982504.84263925
129.24813033621305,76730560.20894413
106.80769407468748,60899127.311065376
122.58673709026955,65360931.74054118
134.2229804040078,67580678.1751639
137.28787294204358,69802686.15569931
150.61561889805665,74692852.33783595
161.68730666179488,83141219.21916606
155.08402001259046,69946055.04260826
124.02745402372781,71995691.74996029
151.9051485084015,67129060.54387507
123.02035069215256,64877248.72456033
189.44136085563446,74991278.85012884
136.72192424244056,72888878.73508476
159.44401121171302,62573560.3293704
132.63606307933534,73869533.93709984
145.26243875050838,66290883.234629564
122.07852716650962,73330047.29672739
106.37553974690087,73762273.28453939
193.53813779268827,76718807.01675957
120.52751517120261,80971627.48823196
160.54957395094803,74520226.06236288
142.38124490215796,70865029.45633845
146.4963083889821,63335788.185419425
147.41752554681278,79109991.5172959
115.82227166768809,76035550.87400663
159.61687596571727,66480520.40550761
130.67579063850428,83337679.68099552
129.93224616986453,74921646.52532518
147.75695762754816,67795778.38831863
144.51461279973154,65794218.90323772
127.30318639717756,68050545.60167718
123.0832063796342,67942983.52293387
164.55157003244994,78349975.7785838
130.41430319670263,62534343.66085784
167.85710152423437,71737915.69860734
147.03409388412564,70947089.02409458
133.9068965522882,70050406.75090376
91.24712754816753,67456901.76869221
148.42440887747665,66812913.28298705
137.25689230446218,81264034.49513276
162.18270581878033,61618000.298012175
148.06790397939542,66520224.37442406
144.69217836066304,68306421.98661822
119.2079805581743,70256212.1551005
149.48100076631874,63279808.486017264
119.63362762364672,64261478.62391344
145.27327134079528,70193218.89532529
164.01963351085868,67710447.89003325
157.38859201294488,62137719.406074
104.54828595613174,67150486.89396012
129.04334095954349,70741241.92694674
90.47185762213724,69311665.58341095
144.55944666564253,64609373.235255875
135.1103203743603,68858818.86863597
149.495514124704,80130746.77354743
143.3605047385874,71877275.41919515
173.18726399469966,68920219.08158581
142.1284507499832,68947008.77871868
162.87543698046966,75434421.84874547
130.01579764106012,79022344.73016255
141.35060397805364,75560612.10499153
161.41654633927683,75414466.13701639
141.47790195712145,63985494.169069506
102.66209472206928,74270580.93584268
147.61247929199402,73717892.72544308
161.99712279051982,71409983.03767157
129.0407240870576,60651724.68624288
155.341760271972,71837524.68369938
140.92734843280473,72886147.01758546
164.50529635657352,75692011.7326901
142.50897489858323,72399310.61856306
179.5363073933221,66021377.79146664
125.56301640168421,69836127.42925021
171.46012636262319,65593441.836661525
104.81979336779045,69947323.55004829
155.5121972935698,64971591.55760257
124.01206644618101,65752062.711678855
131.31857762193906,70857802.81989707
128.6963267781388,77107337.75447664
116.3576278749292,65397921.882289246
167.6412040039379,76248862.37377478
140.47788688904166,71278892.30241272
128.2393783430041,73079845.22603753
169.6018179831074,77631000.87559327
157.23075514814713,69491390.19104937
117.54957354873613,70362064.75743885
139.03544858013672,70745232.77230608
141.58462387051773,68006945.60572268
115.73606044456157,76866455.9207811
160.47688685738837,69610986.20686784
166.29323366134645,74757435.41998343
167.93491533570844,74228136.38197432
117.25645864368268,72834658.88019833
121.69855473324783,79004082.16101009
151.91941168235644,68210960.98145679
135.72179137328243,65378280.567911744
118.708842705623,69484173.36641073
141.77137959290687,72122143.66144933
120.27789447942331,77200829.96079308
116.98370263281006,67521969.66792926
129.30872795359025,78450117.80285078
160.81686078843447,75047261.8039887
114.93818599644219,69994298.65926932
156.92474021160137,73816221.77161923
150.21496452857573,58125769.3969656
155.84739571563324,73299385.67057663
99.41473869465672,70047563.75356106
138.2143929107797,83759030.3458476
138.49223659165892,77310397.40059882
126.44333419745266,66981880.983026214
137.3591358959466,72541185.32480112
108.13975981017519,76721965.18092327
130.7730029022174,75963748.55014326
149.66011559537714,77910821.81069253
135.48084887504976,70621309.54923746
120.49534525649965,73006555.9632003
160.62026593648477,72717967.05198528
175.20862477634282,64173926.56187014
125.04211290177676,80852526.98583892
124.21459772399963,58915889.17225961
131.9523602541412,69017855.15567107
142.56073282595614,74203088.86200112
136.77429539208023,73410291.08416945
135.57381241576084,67738583.15031122
165.85382358263496,72655666.47111832
101.96098567095783,79238151.1257247
115.31949539902735,80862471.88959268
149.2982746306897,66874954.72521887
134.1639311483362,74110887.72354622
167.8144283875967,74413224.09115084
133.5391342792981,81028149.60711361
